word,phonetic,translation,tag
abscission,æb'siʒәn,"n. 切断, 除去\n[医] 切除",gre
abscond,әb'skɒnd,"vi. 潜逃, 逃匿\n[经] (为躲避罪责,债务等)潜逃",gre
absence,'æbsәns,"n. 缺席, 缺乏, 没有\n[医] 失神",gk cet4 cet6 ky toefl
absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",zk gk cet4 cet6 ky toefl
absentee,.æbsәn'ti:,"n. 缺席者, 不在者\n[经] 缺勤者, 缺席者, 未到工者",toefl
absenteeism,æbsәn'ti:iz(ә)m,"n. 经常无故缺席, 旷职, 旷工, 旷课\n[经] 有计划的怠工, 旷工",toefl gre
absolute,'æbsәlu:t,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",gk cet4 cet6 ky toefl gre
absolutely,'æbsәlu:tli,"adv. 完全地, 绝对地, 确确实实地",cet4 toefl
absolve,әb'zɒlv,"vt. 宣告...无罪, 赦免, 免除\n[经] 免偿(债务), 解除",toefl gre
absorb,әb'sɒ:b,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",gk cet4 cet6 ky toefl ielts gre
absorbing,әb'sɒ:biŋ,"a. 吸引人的, 非常有趣的\n[机] 吸收的",toefl
absorption,әb'sɒ:pʃәn,"n. 吸收, 专心, 全神贯注\n[化] 吸收; 吸收作用",cet6 toefl
abstain,әb'stein,"vi. 自制, 戒绝, 弃权, 回避",toefl gre
abstemious,æb'sti:mjәs,"a. 有节制的, 节约的",gre
abstention,әb'stenʃәn,"n. 戒绝, 回避, 弃权",gre
abstentious,æb'stenʃəs,a. 有节制的,gre
abstinence,'æbstinәns,"n. 节制, 禁欲, 戒酒\n[医] 节制, 禁戒(如禁酒,节欲)",toefl
abstinent,'æbstinәnt,"a. 有节制的, 禁欲的\nn. 禁欲者",gre
abstract,'æbstrækt,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",gk cet4 cet6 ky toefl ielts gre
abstraction,æb'strækʃәn,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品\n[化] 提取; 抽取; 夺取; 夺取反应; 除去",toefl
abstruse,æb'stru:s,"a. 难解的, 深奥的",toefl gre
absurd,әb'sә:d,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",gk cet6 ky toefl ielts gre
abundance,ә'bʌndәns,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",cet6 ky toefl ielts gre
abundant,ә'bʌndәnt,"a. 丰富的, 充分的, 大量的",gk cet4 ky toefl gre
abundantly,ә'bʌndәntli,"adv. 大量地, 丰富地",toefl
abuse,ә'bju:s.ә'bju:z,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",gk cet4 cet6 ky toefl ielts gre
abusive,ә'bju:siv,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的",gre
abut,ә'bʌt,"v. 邻接, 毗邻",toefl gre
abysmal,ә'bizmәl,"a. 深不可测的, 无底的",gre
abyss,ә'bis,"n. 深渊, 深邃, 地狱",toefl
academic,.ækә'demik,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",gk cet4 cet6 ky toefl ielts gre
academician,ә.kædә'miʃәn,"n. 学会会员, 院士, 学究, 大学生, 学者",toefl gre
academy,ә'kædәmi,"n. 学院, 院校, 学会",gk cet4 cet6 ky toefl
acarpous,ei'kɑ:pәs,"a. [植]不结果的,无果实的",gre
accede,æk'si:d,"vi. 同意, 正式加入, 就任, 继任",gre
accelerate,әk'selәreit,"v. 加速, 促进",gk cet4 cet6 ky toefl ielts gre
accelerated,әk'selәreitid,a. 加快的\n[医] 加速的,toefl
accelerating,æk'selәreitiŋ,[计] 加速,toefl
acceleration,әk.selә'reiʃәn,"n. 加速, 促进, 加速度\n[化] 加速度",cet4 toefl
accent,'æksәnt,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",zk gk cet4 ky
accentuate,æk'sentjueit,"vt. 以重音念, 强调, 重读",toefl gre
accept,әk'sept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",zk gk cet4 ky
acceptable,әk'septәbl,"a. 可接受的, 合意的, 可忍受的",cet4
acceptance,әk'septәns,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收",cet4 cet6 ky
access,'ækses,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",gk cet4 cet6 ky toefl ielts gre
accessary,әk'sesәri,"a. 附属的, 附带的, 从犯的\nn. 附件, 同谋, 从犯",cet6
accessibility,әk.sesә'biliti,"n. 易接近, 可进入\n[化] 可及性; 可达性; 可接近性; 吸湿性",toefl
accessible,әk'sesәbl,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",gk cet6 toefl ielts gre
accessory,әk'sesәri,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",cet4 cet6 ky toefl ielts gre
accident,'æksidәnt,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",zk gk cet4 ky toefl
accidental,.æksi'dentl,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面",cet4 cet6 ky toefl
accidentally,.æksi'dentli,"adv. 偶然地, 意外地",toefl
accidents,,n. 意外事故；事故（accident的复数）,ielts
acclaim,ә'kleim,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",ky toefl ielts gre
acclaimed,ə'kleɪmd,v. 欢呼（acclaim的过去式及过去分词）\na. 受到赞扬的,toefl
acclimate,ә'klaimit,"vt. 使适应, 使服水土\nvi. 服水土, 适应新环境",gre
accolade,.ækәu'leid,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号",gre
accommodate,ә'kɒmәdeit,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",cet4 cet6 ky toefl ielts gre
accommodating,ә'kɒmәdeitiŋ,"a. 与人方便的, 肯通融的",toefl gre
accommodation,ә.kɒmә'deiʃәn,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",gk cet4 cet6 ky ielts
accommodations,,"n. 膳宿；住房, 住宿；居住设施（accommodation的复数）",ielts
accompaniment,ә'kʌmpәnimәnt,"n. 伴随物, 附加物, 伴奏",toefl
accompany,ә'kʌmpәni,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",gk cet4 cet6 ky toefl ielts gre
accompanying,,"a. 随同的, 附见的",toefl
accomplice,ә'kʌmplis,"n. 共犯, 同谋\n[医] 协同菌",toefl gre
accomplish,ә'kʌmpliʃ,"vt. 完成, 达到, 实现, 使完美",gk cet4 ky toefl ielts gre
accomplished,ә'kʌmpliʃt,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的",toefl gre
accomplishment,ә'kʌmpliʃmәnt,"n. 成就, 完成",cet6 toefl
accord,ә'kɒ:d,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",cet4 cet6 ky toefl ielts gre
accordance,ә'kɒ:dәns,"n. 一致, 和谐",cet4 cet6 ky
accordingly,ә'kɒ:diŋli,"adv. 相应地, 因此, 于是",cet4 cet6 ky
accordion,ә'kɒ:djәn,n. 手风琴\na. 可折叠的,toefl
accost,ә'kɒst,"vt. 招呼, 搭讪, 勾引\n[法] 勾引, 引诱",toefl gre
account,ә'kaunt,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",gk cet4 ky toefl ielts
account for,,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占,toefl ielts
accountability,ә.kauntә'biliti,"n. 负有责任, 可说明性\n[化] 衡算计量",gre
accountant,ә'kauntәnt,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",gk ky toefl ielts
accountants,,会计人员,ielts
accounting,ә'kauntiŋ,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐",toefl ielts
accredit,ә'kredit,"vt. 信托, 确认, 归结于, 委派\n[经] 发行信用证, 信托, 委托",toefl
accrete,æ'kri:t,"vi. 连生, 合生, 附依\nvt. 使依附, 使连接\na. 合生的",gre
accretion,æ'kri:ʃәn,"n. 自然增大, 添加, 添加物, 连生\n[化] 停滞堆积",gre
accrue,ә'kru:,"vi. 自然增加, 产生\n[经] 应计, 产生, 出现",gre
accumulate,ә'kju:mjuleit,"v. 积聚, 堆积",gk cet4 cet6 ky toefl ielts gre
accumulation,ә.kju:mju'leiʃәn,"n. 积聚, 累积, 积聚物\n[医] 蓄积, 累积",toefl
accuracy,'ækjurәsi,"n. 精确, 正确\n[计] 准确度",gk cet4 cet6 ky toefl ielts gre
accurate,'ækjurәt,"a. 正确的, 精确的\n[经] 准确的, 精确的",cet4 cet6 ky toefl ielts gre
accusation,ækju:'zeiʃәn,"n. 控告, 指控, 指责\n[法] 控告, 起诉, 告发",toefl
accuse,ә'kju:z,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",gk cet4 cet6 ky toefl ielts gre
accuser,ә'kju:zә,"n. 控诉者, 指责者\n[法] 原告, 指控人, 控告者",ielts
accustom,ә'kʌstәm,vt. 使习惯于,cet4 cet6 ky toefl
accustomed,ә'kʌstәmd,"a. 惯常的, 习惯了的",gk cet4 cet6 ky toefl
acerbic,ә'sә:bik,"a. 酸的, 尖刻的",gre
acerbity,ә'sә:biti,"n. 涩, 酸, 尖刻\n[化] 涩度",gre
ache,eik,"n. 疼痛\nvi. 痛, 哀怜, 渴望",zk gk cet4 ky
achieve,ә'tʃi:v,"vt. 完成, 达到\nvi. 如愿以偿",zk gk cet4 cet6 ky toefl ielts
achievement,ә'tʃi:vmәnt,"n. 完成, 成就, 功业",gk cet4 cet6 toefl ielts
achromatic,ækrәu'mætik,"a. 无色的, 不分光的, 消色差的, 非染色质的\n[化] 消色差的",gre
acid,'æsid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",gk cet4 cet6 ky toefl ielts
acidic,ә'sidik,"a. 成酸的, 尖刻的, 酸性的\n[机] 酸性",toefl
acidity,ә'siditi,n. 酸性\n[化] 酸度; 酸性; 酸性反应,toefl
acknowledge,әk'nɒlidʒ,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",gk cet4 cet6 ky toefl ielts gre
acme,'ækmi,"n. 顶点, 极度, 最高点\n[医] 极期",toefl gre
acolyte,'ækәulait,"n. 侍僧, 助手",gre
acorn,'eikɒ:n,"n. 橡树果实\n[机] 浆栎, 浆栎果",gre
acoustic,ә'ku:stik,"a. 听觉的, 声学的, 音响的\n[医] 听的; 声学的",gre
acoustical,ә'ku:stikәl,"a. 听觉的, 声学的",toefl
acquaint,ә'kweint,"vt. 使认识, 介绍",cet6 ky toefl ielts gre
acquaintance,ә'kweintәns,"n. 认识, 相识者",gk cet4 cet6 ky toefl gre
acquainted,ә'kweintid,a. 知晓的；有知识的；熟识的,toefl gre
acquiesce,.ækwi'es,"vi. 默许, 默然同意",gre
acquire,ә'kwaiә,"vt. 获得, 学到\n[电] 目标锁定",gk cet4 cet6 ky toefl ielts
acquired,ә'kwaiәd,"a. 获得的, 后天的\n[医] 获得的, 后天的",gre
acquisition,.ækwi'ziʃәn,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",gk cet4 cet6 ky toefl ielts
acquisitive,ә'kwizitiv,"a. 渴望获得的, 贪婪的\n[法] 取得的, 获得的, 贪得无厌的",cet6 toefl gre
acquit,ә'kwit,"vt. 无罪释放, 表现, 使履行\n[法] 开释, 释放, 免",toefl gre
acquittal,ә'kwitәl,"n. 履行, 无罪开释\n[经] (债务的)清偿",gre
acre,'eikә,n. 英亩,gk cet4 ky toefl
acrid,'ækrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的\n[医] 辛辣的",toefl gre
acrimonious,ækri'mәunjәs,"a. 尖刻的, 讥讽的, 激烈的",toefl gre
acrimony,'ækrimәni,"n. 严厉, 尖刻\n[医] 辛辣",toefl gre
acrobat,'ækrәbæt,"n. 表演特技者, 杂技演员",ky gre
acronym,'ækrәunim,"n. 首字母缩拼词, 首字母组合词\n[计] 字首组合词",toefl gre
acrophobia,.ækrәu'fәubiә,n. 恐高症\n[医] 高处恐怖,gre
across,ә'krɒs,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",zk gk
act,ækt,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",zk gk cet4 ky
acting,'æktiŋ,"n. 演戏, 装腔作势\na. 代理的, 演出用的, 起作用的",toefl
action,'ækʃәn,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",zk gk cet4 cet6 ky toefl ielts
actions,,n. 动作；行动（action的复数）,ielts
activate,'æktiveit,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",ky toefl ielts
active,'æktiv,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",zk gk cet4 ky toefl
actively,'æktivli,"adv. 活跃地, 积极地",toefl
activities,,n. （activity复数形式）活动；活动区；活动性,ielts
activity,æk'tiviti,"n. 活动, 行动, 活跃, 活力\n[计] 活动",zk gk cet4 ky ielts
actor,'æktә,"n. 男演员, 行动者\n[医] 作用物, 反应物",gk cet4 ky ielts
actress,'æktris,n. 女演员,gk cet4 ky
actual,'æktʃuәl,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",gk cet4 ky toefl
actually,'æktʃuәli,"adv. 事实上, 竟然, 如今, 现在",cet4 cet6 toefl
actuarial,.æktju'єәriәl,"a. 保险计算员的, 保险计算的\n[经] 保险公司计算员的, 保险统计",gre
actuate,'æktʃueit,"vt. 开动, 驱使, 激励",toefl gre
acuity,ә'kju:әti,"n. 尖锐, (疾病的)剧烈, 敏锐\n[化] 锐度; 分辨能力",gre
acumen,ә'kju:men,"n. 敏锐, 聪明",toefl gre
acupuncture,'ækju.pʌŋktʃә,"n. 针刺, 针刺疗法\nvt. 施以针灸",toefl
acute,ә'kju:t,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",gk cet4 cet6 ky toefl ielts gre
ad,æd,"n. 广告\n[计] 地址, 模拟-数字",cet4
adage,'ædidʒ,"n. 格言, 谚语",toefl gre
adamant,'ædәmәnt,"n. 坚硬的东西\na. 非常坚硬的, 坚强的, 固执的",toefl gre
adapt,ә'dæpt,"vt. 使适应, 改编\nvi. 适应",gk cet4 cet6 ky toefl ielts gre
adaptable,ә'dæptәbl,"a. 能适应的, 适合的, 可修改的",toefl gre
adaptation,.ædæp'teiʃәn,"n. 适应, 改编, 改编本\n[医] 适应[作用]",gk toefl
adaptive,ә'dæptiv,"a. 适应的, 能适应的",toefl
add,æd,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",zk gk cet4 ky
addendum,ә'dendәm,"n. 补遗, 附加物\n[化] 附加物; 齿顶",gre
addict,ә'dikt,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",cet6 ky toefl ielts gre
addicted,ә'diktid,"a. 沉溺于...的, 无法摆脱(某种嗜好)的\n[法] 嗜, 好, 惯于",gk toefl
addictive,ә'diktiv,a. 上瘾的,toefl
addition,ә'diʃәn,"n. 加法, 增加的人(或物)\n[计] 加法",gk cet4 cet6 ky ielts gre
additional,ә'diʃәnәl,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",cet4 cet6 ky toefl ielts
additive,'æditiv,"a. 添加的, 附加的, 加法的, 累积的\nn. 添加物",toefl gre
addle,'ædl,"vt. 使昏乱, 使腐坏\nvi. 变质\na. 昏乱的, 腐坏的",toefl gre
address,ә'dres,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",zk gk cet4 cet6 ky toefl ielts gre
adduce,ә'dju:s,"vt. 引证, 举出\n[法] 援引, 引证, 提出",gre
adept,ә'dept,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行",toefl ielts gre
adequate,'ædikwәt,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",gk cet4 cet6 ky toefl ielts gre
adhere,әd'hiә,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",cet4 cet6 ky toefl ielts gre
adherence,әd'hiәrәns,"n. 依附, 固执, 坚持\n[化] 粘合",toefl
adherent,әd'hiәrәnt,"n. 信徒, 追随者\na. 附着的, 发生联系的",gre
adhesive,әd'hi:siv,"a. 粘着的, 涂有粘性物质的\nn. 粘合剂, 橡皮膏",toefl gre
adjacent,ә'dʒeisәnt,"a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的",cet6 ky toefl ielts gre
adjective,'ædʒiktiv,"n. 形容词\na. 形容词的, 从属的",cet4 ky
adjoin,ә'dʒɒin,"v. 邻接, 毗连",cet6 ky toefl ielts
adjoining,ә'dʒɒiniŋ,"a. 邻接的, 毗连的\n[机] 联接",toefl
adjourn,ә'dʒә:n,"vi. 休会, 换地方\nvt. 使中止, 推迟",toefl gre
adjudicate,ә'dʒu:dikeit,"v. 判决, 宣告, 裁定",gre
adjunct,'ædʒʌŋkt,"n. 附属物, 附件, 助手, 修饰语\na. 附属的",toefl gre
adjust,ә'dʒʌst,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",gk cet4 cet6 ky toefl ielts gre
adjustable,ә'dʒʌstәbl,a. 可调节的\n[电] 可调整的,cet6
adjustment,ә'dʒʌstmәnt,"n. 调整, 调节, 校正\n[化] 调节",gk toefl
adlib,æd'lib,"v. 临时穿插, 信口说出, 即兴讲演\n[计] 状态说明设计语言",gre
administer,әd'ministә,"vt. 管理, 料理, 执行\nvi. 执行遗产管理人的职责, 给予帮助",ky toefl ielts
administrate,әd'ministreit,"vt. 管理, 支配",ky toefl
administration,әd.mini'streiʃәn,"n. 行政, 管理, 政府机关\n[化] 给药",gk cet4 cet6 ky toefl ielts
administrative,әd'ministrәtiv,"a. 管理的, 行政的\n[法] 行政的, 管理的, 遗产管理的",toefl
administrator,әd'ministreitә,"n. 管理人, 行政官\n[经] 遗产管理人员",toefl ielts
admirable,'ædmәrәbl,"a. 可钦佩的, 极好的, 令人惊奇的",gk toefl
admiration,.ædmә'reiʃәn,"n. 赞赏, 钦佩, 引人赞赏的对象",cet6 toefl
admire,әd'maiә,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇",gk cet4 ky toefl gre
admission,әd'miʃәn,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",gk cet4 cet6 ky toefl ielts gre
admit,әd'mit,"vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",gk cet4 ky toefl
admittedly,әd'mitidli,"adv. 公认地, 诚然",toefl
admonish,әd'mɒniʃ,"vt. 警告, 劝告, 训诫, 告诫",toefl gre
adobe,ә'doubi,n. 风干土坯\n[化] 风干砖; 土砖; 灰质粘土; 多孔粘土,toefl gre
adolescence,.ædәu'lesәns,"n. 青春期\n[医] 青年期, 青春期",gk ielts
adolescent,.ædәu'lesәnt,"a. 青春期的, 青少年的\nn. 青少年",gk cet6 ky toefl gre
adopt,ә'dɒpt,"vt. 采用, 正式通过, 收养, 接受\n[医] 采取",gk cet4 cet6 ky toefl ielts gre
adoption,ә'dɒpʃәn,"n. 采用, 采纳, 收养\n[法] 收养, 采纳, 采用",cet6 toefl
adore,ә'dɒ:,"vt. 崇拜, 爱慕, 喜爱\nvi. 崇拜, 爱慕",gk cet6 ky toefl ielts gre
adorn,ә'dɒ:n,"vt. 装饰, 使生色",toefl gre
adornment,ә'dɒ:nmәnt,"n. 装饰, 装饰品",toefl
adroit,ә'drɒit,"a. 灵巧的, 敏捷的, 聪明的",toefl gre
adulate,'ædjuleit,"vt. 谄媚, 过分称赞",gre
adult,'ædʌlt,"n. 成人, 成虫\na. 成年的, 成熟的",gk cet4 ky ielts
adulterate,ә'dʌltәreit,"vt. 掺杂\na. 掺假的, 假的, 通奸的",gre
adulteration,ә.dʌltә'reiʃәn,"n. 掺杂, 掺假的东西\n[化] 掺杂; 掺加",toefl
adults,,n. 成年人（adult的复数形式）,ielts
adumbrate,'ædʌmbreit,"vt. 画...的轮廓, 预示",gre
advance,әd'vɑ:ns,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",gk cet4 cet6 ky toefl
advanced,әd'vɑ:nst,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的",cet4 ky toefl ielts
advancement,әd'vɑ:nsmәnt,"n. 前进, 进步, 提升\n[医] 徙前术",toefl
advantage,әd'vɑ:ntidʒ,"n. 优点, 便利, 好处, 优势\nvt. 有助于",zk gk cet4 ky
advantageous,.ædvәn'teidʒәs,"a. 有利的, 有益的",cet6
advantages,,n. 优势；特点；有利；[经] 利益（advantage的复数）\nv. 促进（advantage的三单形式）；有利于,ielts
advent,'ædvәnt,"n. 来到, 来临",ky toefl ielts gre
adventitious,.ædven'tiʃәs,"a. 偶然的, 外来的\n[医] 偶生的, 偶发的; 异位的",toefl gre
adventure,әd'ventʃә,"n. 冒险, 冒险经历\nv. 冒险",gk cet4 ky toefl
adventurer,әd'ventʃәrә,"n. 冒险家, 投机者\n[法] 冒险者, 投机者",toefl
adventurous,әd'ventʃәrәs,"a. 喜欢冒险的, 有进取心的, 危险的",toefl
adverb,'ædvә:b,n. 副词,cet4 ky
adverse,'ædvә:s,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的",cet6 ky toefl ielts gre
